Item type,Authors,Editors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Address,Book title,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Notes,Series
Journal Article,"Huang J,Tan L,Li W,Yu K",,RON-enhanced blockchain propagation mechanism for edge-enabled smart cities,Journal of Information Security and Applications,2021,61.0,,102936,,,,2021,,2214-2126,https://www.sciencedirect.com/science/article/pii/S2214212621001538;http://dx.doi.org/10.1016/j.jisa.2021.102936,10.1016/j.jisa.2021.102936,"Edge computing can serve latency-sensitive data generated by smart IoT devices in smart cities, which cannot be accommodated by cloud services. However, edge-enabled smart cities applications face many security issues such as massive centralization, vulnerability to tampering, and tracing difficulty. Blockchain, as an emerging ledger technology, can be a useful solution to these problems. However, due to network propagation delay, blockchain fork may occur in the network of edge-enabled smart cities at some time. It can lead to double payment attacks and damage data integrity. To address this issue, this paper proposes a blockchain network propagation mechanism based on the resilient overlay network (RON) for edge-enabled smart cities. Firstly, it reconstructs the networking mode between the blockchain nodes in smart cities based on RON so that the blockchain nodes can quickly detect the link state of the Internet in smart cities. The shortest path algorithm and policy routing are then applied to construct the propagation path between the blockchain nodes to optimize the Gossip propagation mechanism and enhance the QoS and QoE. Simulation results show that the RON-based blockchain network propagation mechanism for edge-enabled smart cities is beneficial in terms of average route hop count, transmission success rate, routing overhead, average delay, and reduced fork probability.","Blockchain fork, Resilient overlay network, Propagation delay, Gossip, Optimal propagation mechanism",,
Journal Article,"Annane B,Alti A,Lakehal A",,Blockchain based context-aware CP-ABE schema for Internet of Medical Things security,Array,2022,14.0,,100150,,,,2022,,2590-0056,https://www.sciencedirect.com/science/article/pii/S2590005622000194;http://dx.doi.org/10.1016/j.array.2022.100150,10.1016/j.array.2022.100150,"Nowadays, the number of corona patients is increasing significantly. The relationship between the Internet of Medical Things (IoMT) and the Internet is struggling to keep up with this number of patients. The transmission of Patient Health Records (PHR) to the care of a patient through Internet plays an important role in the remote monitoring and fast detection of new contaminated patient with coronavirus. Moreover, it has generated significant security and privacy concerns for the global health care system due to tampering of control messages. This paper focuses on the application of blockchain and smart contract mechanisms to solve the shortcomings of the current health application and propose a new security schema based on context-aware CP-ABE. The proposed schema includes context-aware policies to achieve a robust authentication of identity and confidentiality of patient's healthcare data. Therefore, the proposed schema shows promising results in enhancing security and minimizing encryption time in Fog cloud environments based on proxy-fog and reinforcement of security policies.","COVID-19, Healthcare, Authentication, Privacy, Blockchain, IoMT",,
Journal Article,"Gong B,Cui C,Hu M,Guo C,Li X,Ren Y",,Anonymous Traceability protocol based on Group Signature for Blockchain,Future Generation Computer Systems,2022,127.0,,160-167,,,,2022,,0167-739X,https://www.sciencedirect.com/science/article/pii/S0167739X21003666;http://dx.doi.org/10.1016/j.future.2021.09.020,10.1016/j.future.2021.09.020,"In blockchain technology, data are stored on decentralized nodes and public to each node in the blockchain network. Hence, the focus of privacy protection in the blockchain guarantees the anonymity of transactions such that attackers cannot attain the users' personal information through data analysis. Among the existing privacy protection technologies, the scheme based on group signature has good anonymity, but the existing scheme exists a large number of operations that are difficult to apply to wireless terminals. In this paper, using the powerful offloading capability of edge computing, we propose a blockchain node traceable identity privacy technology scheme based on threshold group signature, and the scheme greatly reduces the computing burden of nodes while achieving node privacy protection.","Blockchain, Traceability, Signature",,
Journal Article,"Senathipathi K,Kayalvili S,Anitha P,Carol Henna KJ",,Blockchain integrated IIOT -- Future of IOT,Materials Today: Proceedings,2021,,,,,,,2021,,2214-7853,https://www.sciencedirect.com/science/article/pii/S2214785320407692;http://dx.doi.org/10.1016/j.matpr.2020.12.1051,10.1016/j.matpr.2020.12.1051,"In the current world, we are witnessing forthe speedy growth of Industrial Internet of Things (IIoT)due to the rapid development of technologies.But, the three tiers network topology and limited resources of edge computing impose several difficultiesin conventional method of data storage, communication, and reliability. In distributed IIoT, we use blockchain's distributed trust and allocated ledger and this is used as an effective method for various IOT applications. Blockchain technology enables new business models, innovative organisational forms and work processes. It has also been widely used in hierarchical corporations andindependentcompanies. Blockchain has opened the door for many new possibilities in the way value can be directly transferred between participants in a convenient and trusted manner. With smart contracts, execution of workflows will be used for automation of regulatory workflows. Reporting and monitoring of required data, checking of compliances, and approval processes will become easier than ever.","Blockchain, IIOT, IOT, Industry 4.0",,
Journal Article,"Wang G,Li C,Huang Y,Wang X,Luo Y",,Smart contract-based caching and data transaction optimization in mobile edge computing,Knowledge-Based Systems,2022,252.0,,109344,,,,2022,,0950-7051,https://www.sciencedirect.com/science/article/pii/S0950705122006748;http://dx.doi.org/10.1016/j.knosys.2022.109344,10.1016/j.knosys.2022.109344,"The emergence of mobile edge computing can provide technical support for the development of Internet services and for coping with massive data traffic, thereby reducing network latency and ensuring efficient network operations and service delivery. However, the mobile edge computing environment is prone to data loss and privacy leakage, and data security and reliability cannot be guaranteed. The application of blockchain technology ensures the stability and dependability of data caching and transactions. In order to guarantee the security of data caching in the mobile edge computing environment and minimize the response time of caching servers, this paper proposes a decentralized data caching strategy in the mobile edge computing environment. The strategy uses a greedy algorithm to make the transmission delay of the requested content as small as possible under the multiple constraints of the storage space of each server and whether the content is cached on the server. To address the problem that data trading platforms are unable to afford the computation and storage of massive amounts of data and cannot guarantee that the data will not be leaked, this paper proposes a secure decentralized data transaction program. The scheme promotes the increase of transaction turnover rate and improves the revenue of both participating parties by establishing a buyer--seller matching algorithm. According to the experimental results, the proposed data caching strategy can improve the cache hit rate and reduce the transmission delay; the proposed data transaction solution can increase the revenue of both the data holder and the data buyer.","Mobile edge computing, Blockchain, Smart contract, Data caching, Data transaction",,
Journal Article,"Yin L,Li P,Luo J",,Smart contract service migration mechanism based on container in edge computing,Journal of Parallel and Distributed Computing,2021,152.0,,157-166,,,,2021,,0743-7315,https://www.sciencedirect.com/science/article/pii/S0743731521000447;http://dx.doi.org/10.1016/j.jpdc.2021.02.023,10.1016/j.jpdc.2021.02.023,"In edge computing, smart contracts usually run in the form of containers on edge nodes. However, the container has process nesting and strong association with image files, which leads to insufficient real-time migration. This article studies the container-based service migration problem in edge computing. In order to reduce the service delay of nodes, we propose a service migration mechanism based on mobility awareness. The service migration mechanism based on mobility awareness triggers service migration according to the service density of the current node, and selects the most suitable service set for migration in the current node with the optimization goal of minimizing service delay, and finally the corresponding destination node is selected for migration according to the migration cost and the moving direction of the device to which the service belongs. Experimental results show that our proposed service migration mechanism based on container can effectively reduce the waiting delay and migration delay in the service process, and optimize the service quality of edge nodes.","Blockchain, Container, Docker, Edge computing, Smart contract",,
Journal Article,"Yue D,Li R,Zhang Y,Tian W,Huang Y",,Blockchain-based verification framework for data integrity in edge-cloud storage,Journal of Parallel and Distributed Computing,2020,146.0,,1-14,,,,2020,,0743-7315,https://www.sciencedirect.com/science/article/pii/S0743731520303142;http://dx.doi.org/10.1016/j.jpdc.2020.06.007,10.1016/j.jpdc.2020.06.007,"With the popularity of the Internet of Things (IoT), data integrity verification in the edge cloud storage attracts attentions from many researchers. Due to the over dependence of the Third Party Auditor (TPA) and the dynamical nature of the IoT data, the traditional data integrity verification framework for cloud storage can hardly work. To satisfy the characteristics of the IoT and avoid the over dependence of the TPA, we propose a blockchain-based framework without TPA for data integrity verification in a decentralized edge-cloud storage (ECS) scenario in this paper. In our framework, we employ the Merkle tree with random challenging numbers for data integrity verification and analyze different Merkle tree structures to optimize the system performance. To solve the problem of limited resources and high real-time requirements, we further propose sampling verification and develop rational sampling strategies to make sampling verification more effective. The overhead and precision of the verification in ECS are studied by an optimal sample size strategy. Finally, a prototype system is implemented based on our framework. We conduct a series of experiments to evaluate the effectiveness of the proposed schemes. The experimental results show that our schemes can effectively improve the performance of data integrity verification.","Blockchain, Edge-cloud storage, Data integrity verification, Merkle trees, Sampling",,
Journal Article,"Fiorentino S,Bartolucci S",,Blockchain-based smart contracts as new governance tools for the sharing economy,Cities,2021,117.0,,103325,,,,2021,,0264-2751,https://www.sciencedirect.com/science/article/pii/S0264275121002250;http://dx.doi.org/10.1016/j.cities.2021.103325,10.1016/j.cities.2021.103325,"Examples of sharing economy platforms are proliferating, generating new concerns on the exploitation of local resources, ethical and intellectual properties. Necessary changes are required to the regulatory frameworks of our cities. This paper proposes an application of blockchain technology for planning governance purposes. This new cutting-edge technology, currently under-exploited in applications for smart cities planning, may represent a fundamental building block for the digitalization of the sector. We propose blockchain-based management systems (BMSs) as new governance tools to improve traceability, transparency, and decentralization of transactions in the sharing economy. We build a BMS prototype for the management of co-working spaces (CWSs). In particular, we show how a blockchain can be used to track transactions between users (e.g., rent payments), and to advertise or store information about a given space (e.g., building specifications, IP conceived within the space). A large amount of data will be permanently and securely stored on ledger and made available to both institutions and corporations, providing a wide range of new governance tools and services to local authorities of the future. Similar BMSs can be developed for different types of buildings or public services purposes.","Co-working spaces, Urban governance, Blockchain, Smart cities, Sharing economy",,
Journal Article,"Baranwal G,Kumar D,Vidyarthi DP",,BARA: A blockchain-aided auction-based resource allocation in edge computing enabled industrial internet of things,Future Generation Computer Systems,2022,135.0,,333-347,,,,2022,,0167-739X,https://www.sciencedirect.com/science/article/pii/S0167739X22001728;http://dx.doi.org/10.1016/j.future.2022.05.007,10.1016/j.future.2022.05.007,"The recent emergence of Industrial Internet of Things (IIoT), a novel subset of Internet of Things (IoT), integrates sensors and intelligent devices with industry applications to develop a self-organizing system for creating enhanced and adaptive industrial environments. IIoT devices usually have limited computational power, while IIoT applications are mostly mission-critical and/or safety-critical. Therefore, these applications need computing resources that are closer to the devices. This work proposes a decentralized auction-based resource allocation mechanism in edge computing enabled IIoT using consortium blockchain and smart contract that shelves the involvement of a trusted third party, i.e. auctioneer. Various quality parameters are considered during resource allocation to address the mobility of both IIoT devices and edge resources, heterogeneity of edge servers, false assurance of edge servers, reliability, delay in results, and responsiveness of edge servers. Utility functions for IIoT devices are designed to calculate their degree of satisfaction depending on various quality parameters. The proposed blockchain-aided auction based mechanism fulfills various auction-based resource allocation requirements such as seal bidding, no impersonation of the bidder, no modification in any bid or result of allocation by the auctioneer, and proof for winners. The proposed work encourages edge servers for truthful bidding and furnishes the allocation results in polynomial time. Performance evaluation of the proposed model exhibits encouraging results.","Blockchain, Auction, Edge computing, Industrial internet of things (IIoT), Utility, Resource allocation",,
Journal Article,"Li D,Chen R,Liu D,Song Y,Ren Y,Guan Z,Sun Y,Liu J",,Blockchain-based authentication for IIoT devices with PUF,Journal of Systems Architecture,2022,130.0,,102638,,,,2022,,1383-7621,https://www.sciencedirect.com/science/article/pii/S1383762122001618;http://dx.doi.org/10.1016/j.sysarc.2022.102638,10.1016/j.sysarc.2022.102638,"With the continuous development of edge computing and IIoT technology, there are growing types of IIoT devices, and the number of such devices is continuously climbing. It is indispensable to authenticate devices in the IIoT environment. In this paper, we propose two blockchain-based authentication for IIoT devices with PUF. The first one relies on SRAM PUF, which is highly compatible with physical devices and has low cost. For the second one, we utilize the property of Arbiter PUF that it is difficult to physically clone but easy to be cloned mathematically to build the PUF models for authentication. We protect CRPs used for model training from leakage, and prevent PUF from being modeled twice. We formalize the security properties, and we prove that our proposal is secure. Besides, our proposal achieves scalability, which means that the entities involved in the scheme authenticate the devices instead of storing amounts of CRPs. Finally, we take SVM as an example to model PUF, and the implementation results demonstrate that the PUF model could achieve the accuracy of 99.9%. In addition, we implement smart contracts, and the implementation results confirm the availability of the protocol in the IIoT environment.","IIoT, Blockchain, PUF, Device authentication, Data security",,
Journal Article,"Kochovski P,Gec S,Stankovski V,Bajec M,Drobintsev PD",,Trust management in a blockchain based fog computing platform with trustless smart oracles,Future Generation Computer Systems,2019,101.0,,747-759,,,,2019,,0167-739X,https://www.sciencedirect.com/science/article/pii/S0167739X19301281;http://dx.doi.org/10.1016/j.future.2019.07.030,10.1016/j.future.2019.07.030,"Trust is a crucial aspect when cyber-physical systems have to rely on resources and services under ownership of various entities, such as in the case of Edge, Fog and Cloud computing. The DECENTER's Fog Computing Platform is developed to support Big Data pipelines, which start from the Internet of Things (IoT), such as cameras that provide video-streams for subsequent analysis. It is used to implement Artificial Intelligence (AI) algorithms across the Edge-Fog-Cloud computing continuum which provide benefits to applications, including high Quality of Service (QoS), improved privacy and security, lower operational costs and similar. In this article, we present a trust management architecture for DECENTER that relies on the use of blockchain-based Smart Contracts (SCs) and specifically designed trustless Smart Oracles. The architecture is implemented on Ethereum ledger (testnet) and three trust management scenarios are used for illustration. The scenarios (trust management for cameras, trusted data flow and QoS based computing node selection) are used to present the benefits of establishing trust relationships among entities, services and stakeholders of the platform.","Trust, Fog, Blockchain, Smart contract, Smart oracle",,
Journal Article,"Qiao L,Dang S,Shihada B,Alouini MS,Nowak R,Lv Z",,Can blockchain link the future?,Digital Communications and Networks,2021,,,,,,,2021,,2352-8648,https://www.sciencedirect.com/science/article/pii/S2352864821000456;http://dx.doi.org/10.1016/j.dcan.2021.07.004,10.1016/j.dcan.2021.07.004,"Recently, decentralization has been extensively explored by researchers. Blockchain, as a representation of decentralized technology, has attracted attention with its unique characteristics, such as irrevocability and security. Consequently, herein, we introduce cutting-edge blockchain technologies from four directions: blockchain system, consensus algorithms, smart contract, and scalability. Subsequently, we analyze the current lack of consensus mechanism, fault tolerance, and block capacity of the blockchain, and the integration of blockchain into 5G/6G mobile communication. Furthermore, we discuss the possible applications of blockchain in intellectual property protection, the Internet of Things, digital twins, standardization, and epidemic prevention and control. Finally, explore the impacts and solutions of blockchain on human society beyond technology.","Blockchain, Consensus algorithm, Scalability, Smart contract, Internet of things, Digital twins",,
Journal Article,"Guo J,Ding X,Wang T,Jia W",,Combinatorial resources auction in decentralized edge-thing systems using blockchain and differential privacy,Information Sciences,2022,607.0,,211-229,,,,2022,,0020-0255,https://www.sciencedirect.com/science/article/pii/S0020025522005680;http://dx.doi.org/10.1016/j.ins.2022.05.128,10.1016/j.ins.2022.05.128,"With the continuous expansion of Internet of Things (IoT) devices, edge computing mode has emerged in recent years to overcome the shortcomings of traditional cloud computing mode, such as high delay, network congestion, and large resource consumption. Thus, edge-thing systems will replace the classic cloud-thing/cloud-edge-thing systems and become mainstream gradually, where IoT devices can offload their tasks to neighboring edge nodes. A common problem is how to utilize edge computing resources. For the sake of fairness, double auction can be used in the edge-thing system to achieve an effective resource allocation and pricing mechanism. Due to the lack of third-party management agencies and mutual distrust between nodes, in our edge-thing systems, we introduce blockchains to prevent malicious nodes from tampering with transaction records and smart contracts to act as an auctioneer to realize resources auction. Since the auction results stored in this blockchain-based system are transparent, they are threatened with inference attacks. Thus in this paper, we design a differentially private combinatorial double auction mechanism by exploring the exponential mechanism such that maximizing the revenue of edge computing platform, in which each IoT device requests a resource bundle and edge nodes compete with each other to provide resources. It can not only guarantee approximate truthfulness and high revenue, but also ensure privacy security. Through necessary theoretical analysis and numerical simulations, the effectiveness of our proposed mechanisms can be validated.","Internet of Things, Blockchain, Smart contract, Edge-thing system, Combinatorial auction, Truthfulness, Revenue, Differential privacy",,
Journal Article,"Huang B,Zhang R,Lu Z,Zhang Y,Wu J,Zhan L,Hung PC",,BPS: A reliable and efficient pub/sub communication model with blockchain-enhanced paradigm in multi-tenant edge cloud,Journal of Parallel and Distributed Computing,2020,143.0,,167-178,,,,2020,,0743-7315,https://www.sciencedirect.com/science/article/pii/S0743731520302847;http://dx.doi.org/10.1016/j.jpdc.2020.05.005,10.1016/j.jpdc.2020.05.005,"In recent years, with the rapid development of smart city, prevalent pub/sub (publish/subscribe) streaming systems have been increasingly employed as upstream middleware layer in multi-tenant edge clouds, and feed large volume of data gathered from IoT devices of different tenants into downstream systems (e.g., data analytics and warehouse). A shared tenancy model where multiple untrusted applications or tenants utilize the same pub/sub system is generally exploited in edge cloud, which poses crucial challenges including privacy-sensitive data/metadata access threat and critical metadata modification by unauthorized tenants. A centralized monitoring node is invariably adopted in existing security strategies (such as ACL, TLS), which causes the pub/sub streaming model vulnerable to external malicious attacks and single point failure. In this paper, inspired by outstanding features of blockchain including tamper-resistance, decentralization, strong consistency, and traceability, we propose BPS, a general and decentralized Blockchain-enhanced Pub/Sub communication model for multi-tenant edge cloud, to redesign pub/sub system internal security mechanisms. Specifically, by exploiting blockchain technology, BPS can detect the illegal operations and behaviors from both malicious tenants and untrusted publishers or subscribers. BPS directly leverages Merkel Hash Tree (MHT) of blockchain to verify the integrity of critical and confidential metadata. Regarding authorization, BPS introduces smart-contract-enabled fine-grained control over partition topic-classified messages by storing access control list (ACL) into an append-only blockchain ledger. Additionally, an incentive mechanism is employed in BPS to reward honest publishers and subscribers. We implement BPS prototype based on Kafka and EoS blockchain. Our security analysis and extensive experiments demonstrate that BPS outperforms the state-of-the-art pub/sub streaming system Kafka in security with minimal performance overhead.","Blockchain, Smart city, Pub/sub system, Edge cloud, Security",,
Journal Article,"Rosa-Bilbao J,Boubeta-Puig J,Rutle A",,EDALoCo: Enhancing the accessibility of blockchains through a low-code approach to the development of event-driven applications for smart contract management,Computer Standards & Interfaces,2023,84.0,,103676,,,,2023,,0920-5489,https://www.sciencedirect.com/science/article/pii/S0920548922000459;http://dx.doi.org/10.1016/j.csi.2022.103676,10.1016/j.csi.2022.103676,"Blockchain is a cutting-edge technology based on a distributed, secure and immutable ledger that facilitates the registration of transactions and the traceability of tangible and intangible assets without requiring central governance. The agreements between the nodes participating in a blockchain network are defined through smart contracts. However, the compilation, deployment, interaction and monitoring of these smart contracts is a barrier compromising the accessibility of blockchains by non-expert developers. To address this challenge, in this paper, we propose a low-code approach, called EDALoCo, that facilitates the development of event-driven applications for smart contract management. These applications make blockchain more accessible for software developers who are non-experts in this technology as these can be modeled through graphical flows, which specify the communications between data producers, data processors and data consumers. Specifically, we have enhanced the open-source Node-RED low-code platform with blockchain technology, giving support for the creation of user-friendly and lightweight event-driven applications that can compile and deploy smart contracts in a particular blockchain. Additionally, this platform extension allows users to interact with and monitor the smart contracts already deployed in a blockchain network, hiding the implementation details from non-experts in blockchain. This approach was successfully applied to a case study of COVID-19 vaccines to monitor and obtain the temperatures to which these vaccines are continuously exposed, to process them and then to store them in a blockchain network with the aim of making them immutable and traceable to any user. As a conclusion, our approach enables the integration of blockchain with the low-code paradigm, simplifying the development of lightweight event-driven applications for smart contract management. The approach comprises a novel open-source solution that makes data security, immutability and traceability more accessible to software developers who are non-blockchain experts.","Low-code, Smart contract, Blockchain, Event-driven application",,
Journal Article,"Thakur T,Mehra A,Hassija V,Chamola V,Srinivas R,Gupta KK,Singh AP",,Smart water conservation through a machine learning and blockchain-enabled decentralized edge computing network,Applied Soft Computing,2021,106.0,,107274,,,,2021,,1568-4946,https://www.sciencedirect.com/science/article/pii/S1568494621001976;http://dx.doi.org/10.1016/j.asoc.2021.107274,10.1016/j.asoc.2021.107274,"Forecasting precise water usage corresponding to various beneficial usages is important for optimal and sustainable planning and management of water resources. Due to rapid population growth, there is an urgent need for devising water saving solutions. In this paper, we propose a blockchain based incentivized edge computing framework for water saving using soft computing methodologies. The framework facilitates decision makers in creating awareness among people about water savings in a easily understandable scientific way. Our incentivized blockchain based model uses edge computing at the house nodes of the network to predict the actual usage of a particular household in the locality based on several factors such as number of people, average income of family, profession of the members and previous water demands. By using Feed Forward Networks and Mixture Density Networks, we predict the water usage in terms of input factors and historical usage respectively, thus incorporating machine computing into the framework. With the two values from these methods, a comparison is made with the actual amount of water used by the householders. This research proposes deployment of the smart contract on the blockchain network for efficient and accurate reward distribution. Incentives and rewards are given in the blockchain network to houses with lesser consumption and penalties are imposed when usage crosses predicted and historic usage. The model ensures that accurate incentives are provided to the people in order to motivate them to avoid wastage of water. Results show that the methods used in our work perform better than other relevant networks on a self-synthesized dataset. The proposed methods converge well and show higher spatio-temporal accuracy.","Edge computing, Blockchain, Machine learning, Water conservation",,
Journal Article,"Yuan S,Li J,Wu C",,JORA: Blockchain-based efficient joint computing offloading and resource allocation for edge video streaming systems,Journal of Systems Architecture,2022,133.0,,102740,,,,2022,,1383-7621,https://www.sciencedirect.com/science/article/pii/S1383762122002259;http://dx.doi.org/10.1016/j.sysarc.2022.102740,10.1016/j.sysarc.2022.102740,"Edge computing has been widely applied in video streaming systems, aiming to provide low-latency video streaming services. However, limited resources and a lack of incentivization affect the performance of edge video streaming systems. In this paper, we propose an efficient Joint computing Offloading and Resource Allocation (JORA) method for blockchain-supported edge video streaming systems (BEVS). Specifically, we develop a novel incentive mechanism based on the blockchain smart contract to enable automatic incentivization. Meanwhile, we customize a system prototype of BEVS on Amazon EC2 using Apache Storm. Preliminary experiments with the customized prototype reveal the coupling impacts of the offloading mode, the allocation scheme, and video redundancy on system performance and resource demand. Motivated by the results, we formulate joint computing offloading, resource allocation, and video adaptive compression as an optimization problem. We transform the original problem into a convex problem and a mixed-integer programming problem (MIP). We then develop an algorithm based on the generalized Benders decomposition (GBD) to solve the original problem in an iterative way. Extensive experiments demonstrate that the proposed scheme achieves full resource utilization and an effective trade-off between energy consumption and accuracy.","Video streaming, Resource allocation, Computing offloading, Blockchain, Incentive mechanism",,
Book Chapter,"Markavathi JN,Kesavaraja D","Krishnan S,Balas VE,Julie EG,Robinson YH,Kumar R",Chapter 8 - Cloud/edge computing for smart cities,,2021,,,153-169,Elsevier,,Blockchain for Smart Cities,2021,9780128244463.0,,https://www.sciencedirect.com/science/article/pii/B9780128244463000119;http://dx.doi.org/10.1016/B978-0-12-824446-3.00011-9,10.1016/B978-0-12-824446-3.00011-9,"Today, edge computing deals with computation performed at the edge of the networks and devices. General Computing has issues in latency, security, and automatic decision making. In smart cities adding to general computing comes with processing delays in addition to transmission delay. So smart cities process added to cloud/edge computing, which provides a promising way of enabling applications by offering computation and storage resources with low latency. Edge computing reduces the network bandwidth usage by alleviating the transmission of data from end-users to the remote cloud. The edge computing paradigm is characterized primarily by its geodistributed, low latency. In addition to the edge, fog node covers a wide range of devices such as routers, wireless access points, and data centers. In smart cities that infrastructure provides novel security risks and challenges due to centralized cloud. To enable security must protect all devices from attacks by implementing diverse security mechanisms. Security in edge computing is mainly based on the denial of services and privacy leakage. To avoid attacks, we are providing smart contracts through the reduction of need in trusted intermediates, fraud losses as well as reduction of malicious intentions. It must be devised for edge computing enabled in smart cities to ensure user privacy. In smart cities, decision making is based on data combined with analytics to improve decision making. Enabling the resource-intensive and latency-sensitive smart city applications provides a solution for reliable performance of increasing end-users. The surveillance camera in small cities continuously takes images of the cities and requires further processing of these images to determine the wrong activities in smart cities. Edge computing to enable on-demand telecommunication and computing infrastructure helps to assist rescue activities. The major issue of smart cities includes latency, security, and decision making. The requirements of the latency and security in smart cities can be satisfied by edge computing and fog computing. This technique is used to decrease latency and increase security in the smart cities project.","Cloud computing, Cloudlet, Data centers, Edge computing, Internet of things, Smart cities, Smart contracts",,
Journal Article,"Leng J,Chen Z,Sha W,Ye S,Liu Q,Chen X",,Cloud-edge orchestration-based bi-level autonomous process control for mass individualization of rapid printed circuit boards prototyping services,Journal of Manufacturing Systems,2022,63.0,,143-161,,,,2022,,0278-6125,https://www.sciencedirect.com/science/article/pii/S0278612522000437;http://dx.doi.org/10.1016/j.jmsy.2022.03.008,10.1016/j.jmsy.2022.03.008,"Rapid printed circuit boards (PCB) prototyping refers to the pilot production of PCB before mass production for verifying the circuit design. The rapid PCB prototyping service providers are pursuing the mass individualization paradigm. Yet, these providers suffer from low efficiency and high cost in the large-scale small-batched mixed pilot production of rapid PCB prototyping. To improve the production efficiency in mass individualization of rapid PCB prototyping, this paper proposed a cloud-edge orchestration-based bi-level autonomous process control (CEO-BAPC) framework. A blockchained smart contracts-driven multi-agent system is established at the edge to realize efficient tasks coordination under disturbances. Based on the operation events data and control decisions collected at the edge, a customized deep learning-driven prediction model is established at the cloud for supporting the rescheduling decisions. The blockchained smart contracts (e.g., Stackelberg game solution) at the edge proactively decentralize short-term fine-grained individualized task execution among manufacturing units/machines and make the results available on upper-level deep learning model at the cloud for supporting holistic rescheduling decisions. The bi-level autonomous process control architecture avoids the inconsistency between holistic control and local execution under frequent random disturbances and thereby realizes efficient manufacturing of mass individualization. Through a simulated case based on data collected from a rapid PCB prototyping service provider in China, the feasibility and efficiency of the proposed CEO-BAPC framework are verified.","Mass individualization, Blockchained multi-agent system, Cloud-edge orchestration, Autonomous process control, Blockchained smart contracts",,
Book Chapter,"Rajasekar V,Sathya K","Padmanaban S,Dhanaraj RK,Holm-Nielsen JB,Krishnamoorthi S,Balusamy B",8 - Blockchain utility in renewable energy,,2023,,,115-134,Academic Press,,Blockchain-Based Systems for the Modern Energy Grid,2023,9780323918503.0,,https://www.sciencedirect.com/science/article/pii/B978032391850300010X;http://dx.doi.org/10.1016/B978-0-323-91850-3.00010-X,10.1016/B978-0-323-91850-3.00010-X,"The tightly regulated energy market has taken notice of blockchain technology as it prepares for an energy business model transition in which providers and consumers will create and sell electricity. Blockchain could provide a secure, low-cost mechanism to record and confirm operating and financial transactions along a decentralized system with no central authority. In addition to the smart grid, the Internet of Energy (IoE), which integrates many kinds of energies, has become a prominent innovation feature in the energy generation and distribution landscape. Given the establishing of a distributed smart grid infrastructure, it follows that IoE leverages the Internet to gather, control, optimize, and organize network energy information from various edge devices. Customers and suppliers use sensors and modern communication systems to collect the required data and forecast demand and supply. The present energy sector began changing towards distributed and decentralized approaches with smart grid energy utilities like electric vehicles, smart grid, and vehicle-to-grid technologies. The founding principles of blockchain, such as secrecy, decentralization, and transparency, have sparked an interest in the energy domain for this technology which provides automatic data interchange, complicated energy trades, improved service control, and distributed energy trading, among other things, by utilizing smart contracts. As decentralized renewable resources and smart grid networks are implemented and exploited, blockchain plays a critical role in developing the IoE market.","Energy sustainability, power engineering, energy management, blockchain, energy systems",,
Journal Article,"Yang Y,Shi RH,Li K,Wu Z,Wang S",,Multiple access control scheme for EHRs combining edge computing with smart contracts,Future Generation Computer Systems,2022,129.0,,453-463,,,,2022,,0167-739X,https://www.sciencedirect.com/science/article/pii/S0167739X21004313;http://dx.doi.org/10.1016/j.future.2021.11.002,10.1016/j.future.2021.11.002,"To make up the insufficient computing power of remote medical devices and solve the transmission delay problem, edge computing has been widely studied in academic community. The application of edge computing in E-health makes it more convenient for medical providers to view the patient' electronic health records (EHRs), which not only improves the work efficiency of medical providers, but also provides patients with more personalized treatments. However,there are some security problems in the E-health system, such as EHRs leakage or tampering. Therefore, attribute-based encryption (CP-ABE) is widely used in the access control of EHRS. In order to reduce the computing cost of resource-constrained devices and achieve more flexible fine-grained access control, this paper proposes an effective ABE scheme that outsources part of the computing load to the fog nodes, which safely shares data with lower overheads. It also supports users revocation and attribute revocation. In addition, we combine smart contract and blockchain to share more fine-grained EHRs. The security proof and experimental results show that our scheme has higher efficiency to protect the patients' EHRs privacy.","E-health system, Attribute-based encryption, Smart contract, Edge computing",,
