,Methodology,Application,Problem,Contribution,AI Method,Security,Privacy,Allocation,Metric,Technology,TRLE,UNSD Code,Communication,Evaluation,Blockchain,Consensus,Permission,Type,Chain,Reward
TRLE,1.6241348543832858e-17,0.002763268002921054,-0.03784023893851958,-0.019200475948416833,-0.010529807410560426,-0.010279891399135311,-0.026396709109895056,-0.0390277717623978,-0.000512423855845967,-0.006889475210578954,0.0,0.0037599140834858186,0.02287856737075019,0.016782894488673022,-0.007067533250389381,0.06305835361900025,0.013591353692699542,0.02046330135105495,0.008874544538512113,-0.017323684752529663
UNSD Code,-4.447638245351647e-17,0.11629996484220285,0.10208801478867684,0.038327658025841725,0.008384510944593106,0.03285421317595621,0.0302790291024385,0.013068770917088477,0.01414606393427617,0.25287130162170013,0.0020888411574921223,0.0,0.10679014619045765,-0.008062804158785243,-0.015286063201788115,-0.019267673302996807,-0.0012392802056734405,0.005932065333319412,-0.012634258527949348,-0.0043559687188671386
Communication,-6.832538833653888e-17,0.08030987930741605,0.10669217154179955,0.06256775111119432,-0.006404677640928637,0.09939042787719603,-0.010097256136314495,0.00364109882215947,0.03953127094007689,0.8554676173261613,0.010894555890833414,0.09153441102039227,0.0,0.005475901187648703,0.012700288694229785,0.12337787586160343,0.009937565830397519,0.0188672581844415,0.049036017561102554,-0.008924066882072486
Evaluation,-4.5102810375396984e-17,0.03924135487048924,-0.024138509427561728,0.011823471017910613,-0.05700385590567669,0.015121856321508954,0.0024964216112657632,-0.04070018329648155,0.022900206361430996,0.22537063633497434,0.041957236221682535,-0.03628261871453359,0.028748481235155738,0.0,0.02737218519566903,0.05326941261757852,0.018441836290973172,0.05505274316166392,0.021158113023555934,-0.0023684492967701773
Blockchain,-7.32665562206675e-17,-0.01760016846204601,0.04813276346986435,0.005528587534619814,0.014718003778134295,0.024477055077146977,0.0015649535665995858,-0.019451598502181495,0.043267753474718965,0.30389871449848654,-0.004157372500229045,-0.016185243390128598,0.01568859191640149,0.00644051416368684,0.0,0.17309594345179927,0.05845435196529396,0.05827346318386107,0.04742552204631884,0.00820706103318684
Consensus,-5.2275224747224165e-17,0.009641750588390076,0.03327246491145734,0.025338097679066588,0.006107516380240257,0.03940964964409122,-0.029868239598897027,-0.005533674152158887,0.07228859251050909,0.16286023369258829,0.024253212930384717,-0.013339158440536236,0.09965136127283353,0.00819529424885823,0.11317811687233026,0.0,0.018652293657467088,0.021111653298617764,0.02242411582584186,0.0669330298274519
Permission,-7.73307199525286e-17,0.2256008722194873,0.1303286698354341,0.12077168227337079,-0.13883933394942233,0.4071577270181893,0.09655667323912304,-0.08954901235535315,-0.07457775660546137,0.9293766755267813,0.06795676846349771,-0.011153521851060971,0.10434444121917391,0.03688367258194635,0.49686199170499856,0.24247981754707212,0.0,0.7404551273512293,0.2542697080860711,0.11115801122701785
Type,-6.245004513516506e-17,0.13243646086459945,0.020716263396044467,0.04890096751857003,-0.0671526082302306,0.15604023941231923,0.02225265192036408,-0.07707490057517519,-0.031123596164930677,0.44687791823569967,0.05115825337763738,0.026694293999937342,0.09905310546831793,0.055052743161663906,0.24766221853140954,0.13722574644101543,0.37022756367561466,0.0,0.10076542609636163,0.05173517025825659
Chain,7.632783294297951e-17,-0.005517946956117975,-0.060665851037785656,-0.022819177806009297,-0.005704516607518292,0.08760674414758729,0.06266731515613799,-0.06742268018359704,-0.1969745894155671,-0.267034220622919,0.029581815128373736,-0.07580555116769606,0.3432521229277179,0.028210817364741247,0.26874462492914003,0.19434233715729618,0.16951313872404739,0.13435390146181553,0.0,0.09626046247462468
Reward,-7.134050294954619e-17,0.03472960674556863,0.04140316678051741,0.10749070290123636,0.10036829921761055,-0.00697236560566869,-0.07630962632823388,0.1573394355587447,0.033873017199086856,-0.08190097770151755,-0.04330921188132415,-0.019601859234902125,-0.04685135113088054,-0.0023684492967701786,0.034880009391044034,0.4350646938784373,0.05557900561350894,0.051735170258256594,0.07219534685596853,0.0
